"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
10.15,13.5357602602612,6.32565176878856
10.16,13.889940040186,5.50773998814597
10.17,14.1405000772582,4.63251387291751
10.18,14.2752739909525,3.72109655783575
10.19,14.2880497618591,2.79764214397341
10.2,14.1793523022995,1.8871986274
10.21,13.9563177437645,1.01342032461645
10.22,13.631697052509,0.196556369814286
10.23,13.2222321322514,-0.547945847553062
10.24,12.7467629010821,-1.21006245442694
10.25,12.224420981439,-1.78507569065205
10.26,11.6731694484069,-2.27289698375438
10.27,11.1088127471708,-2.67707127597639
10.28,10.5444781218046,-3.00368933279989
10.29,9.99048896701833,-3.26037577595386
10.3,9.45451607645899,-3.45544911835008
10.31,8.94189385441162,-3.59728844207145
10.32,8.45600944530942,-3.69389908133265
10.33,7.9987000676026,-3.75264681689718
10.34,7.57061926512444,-3.78012205206194
10.35,7.17155257790458,-3.7820966246794
10.36,6.80067663563425,-3.76354165472663
10.37,6.45676380281764,-3.72868199211154
10.38,6.1383386736841,-3.68106964927237
10.39,5.84379428231085,-3.62366429249218
10.4,5.57147592486716,-3.55891323043666
10.41,5.31973972949527,-3.48882648450771
10.42,5.08699202623637,-3.41504467710318
10.43,4.87171443674776,-3.33889887232531
10.44,4.67247856124543,-3.26146236232207
10.45,4.48795324685311,-3.18359488104788
10.46,4.31690669012504,-3.1059799724212
10.47,4.15820504628946,-3.0291563316678
10.48,4.01080876811429,-2.95354393873186
10.49,3.87376755509456,-2.87946575178259
10.5,3.74621453703731,-2.80716565313264
10.51,3.62736012608192,-2.73682325534665
10.52,3.51648583206744,-2.66856609133907
10.53,3.41293823542797,-2.60247963393246
10.54,3.31612323970057,-2.53861552005721
10.55,3.22550067478725,-2.47699829331574
10.56,3.14057928666036,-2.41763092583888
10.57,3.06091212500011,-2.36049933560389
10.58,2.98609232415798,-2.30557607778099
10.59,2.91574926252768,-2.25282335731123
10.6,2.84954507917828,-2.20219548388955
10.61,2.78717152322521,-2.15364086900365
10.62,2.72834710998803,-2.10710364693626
10.63,2.67281455786739,-2.06252498703415
10.64,2.62033848060914,-2.0198441525458
10.65,2.57070331088492,-1.97899935147384
10.66,2.52371143268299,-1.93992841679694
10.67,2.47918150171043,-1.90256934677784
10.68,2.43694693475572,-1.86686073062145
10.69,2.39685455067892,-1.83274208027241
10.7,2.35876334733973,-1.80015408546554
10.71,2.32254340031905,-1.76903880611965
10.72,2.28807487072058,-1.73933981368092
10.73,2.25524711065211,-1.71100229097658
10.74,2.22395785618168,-1.68397309845587
10.75,2.19411249864613,-1.65820081330549
10.76,2.16562342616369,-1.63363574678422
10.77,2.13840942807818,-1.61022994417516
10.78,2.11239515584505,-1.58793717097477
10.79,2.08751063457016,-1.56671288829328
10.8,2.0636908200357,-1.54651421990762
10.81,2.04087519660479,-1.52729991297024
10.82,2.01900741189015,-1.50903029400785
10.83,1.99803494451406,-1.49166722154923
10.84,1.97790880167714,-1.47517403646568
10.85,1.9585832436028,-1.45951551090642
10.86,1.94001553223337,-1.44465779653698
10.87,1.92216570182937,-1.43056837265031
10.88,1.90499634936867,-1.41721599460261
10.89,1.88847244286014,-1.4045706429302
10.9,1.87256114588029,-1.39260347342376
10.91,1.85723165681508,-1.38128676837351
10.92,1.84245506144209,-1.37059388914204
10.93,1.82820419762695,-1.36049923018149
10.94,1.81445353102937,-1.35097817457195
10.95,1.80117904082486,-1.34200705113312
10.96,1.788358114545,-1.33356309313473
10.97,1.7759694512278,-1.32562439861323
10.98,1.76399297214709,-1.31816989228771
10.99,1.75240973846087,-1.31117928905565
11,1.74120187518106,-1.3046330590397
11.01,1.73035250092379,-1.29851239414883
11.02,1.71984566294997,-1.29279917611432
11.03,1.70966627705149,-1.28747594595334
11.04,1.69980007187975,-1.28252587481371
11.05,1.69023353734939,-1.27793273614952
11.06,1.68095387678423,-1.27368087917609
11.07,1.6719489625017,-1.26975520355469
11.08,1.66320729455965,-1.26614113525535
11.09,1.65471796241349,-1.26282460354645
11.1,1.64647060925394,-1.25979201906361
11.11,1.63845539881555,-1.25703025290793
11.12,1.63066298446446,-1.25452661672654
11.13,1.62308448038985,-1.25226884373186
11.14,1.61571143473902,-1.25024507061195
11.15,1.60853580454873,-1.24844382029366
11.16,1.60154993233892,-1.24685398551402
