"Freq [GHz]","re(Z(1,1)) [] - Wcuartos='0.6mm' Wpar='7mm'","im(Z(1,1)) [] - Wcuartos='0.6mm' Wpar='7mm'"
9.74,2.04132609928903,7.7314503842755
9.75,2.05727240971641,7.75011713078753
9.76,2.07352961915515,7.76950632728316
9.77,2.09010748779448,7.78963311833897
9.78,2.1070161396756,7.81051303903911
9.79,2.12426607855557,7.83216202751581
9.8,2.14186820458787,7.85459643794568
9.81,2.15983383186716,7.87783305401801
9.82,2.17817470688896,7.90188910289475
9.83,2.19690302797828,7.92678226967985
9.84,2.21603146574486,7.95253071241624
9.85,2.23557318462633,7.9791530776315
9.86,2.25554186558517,8.00666851645223
9.87,2.27595173002912,8.03509670130639
9.88,2.29681756502986,8.06445784323802
9.89,2.31815474991988,8.09477270985292
9.9,2.33997928435276,8.12606264392072
9.91,2.36230781791802,8.15834958265498
9.92,2.38515768140817,8.19165607769422
9.93,2.40854691984225,8.22600531580968
9.94,2.43249432735759,8.26142114036226
9.95,2.45701948408951,8.29792807353417
9.96,2.48214279516703,8.33555133935963
9.97,2.50788553196205,8.37431688757941
9.98,2.5342698757393,8.41425141834427
9.99,2.56131896386524,8.45538240779159
10,2.58905693874523,8.497738134519
10.01,2.61750899967156,8.54134770697917
10.02,2.64670145777746,8.58624109181879
10.03,2.67666179430805,8.63244914318121
10.04,2.70741872243349,8.68000363299625
10.05,2.7390022528483,8.72893728227217
10.06,2.77144376341803,8.77928379340831
10.07,2.80477607315528,8.83107788353944
10.08,2.8390335208286,8.88435531892383
10.09,2.87425204853108,8.93915295037904
10.1,2.91046929056162,8.99550874976668
10.11,2.94772466799882,9.05346184752202
10.12,2.98605948937805,9.1130525712156
10.13,3.02551705791482,9.17432248512782
10.14,3.06614278575279,9.23731443080721
10.15,3.10798431575337,9.30207256857184
10.16,3.15109165138616,9.36864241990195
10.17,3.19551729532419,9.43707091065488
10.18,3.24131639739817,9.5074064150182
10.19,3.28854691261757,9.57969880009618
10.2,3.33726977002454,9.65399947100051
10.21,3.38754905321136,9.7303614162915
10.22,3.43945219340059,9.80883925358456
10.23,3.49305017606342,9.88948927509928
10.24,3.54841776213377,9.97236949289091
10.25,3.60563372496526,10.0575396834534
10.26,3.66478110427618,10.1450614313317
10.27,3.72594747843401,10.2349981713161
10.28,3.78922525654633,10.3274152287217
10.29,3.854711991952,10.4223798571709
10.3,3.9225107188437,10.5199612732038
10.31,3.99273031390204,10.6202306869305
10.32,4.06548588498495,10.7232613278147
10.33,4.14089918909259,10.8291284645312
10.34,4.21909908202108,10.9379094176759
10.35,4.3002220023264,11.0496835639123
10.36,4.38441249244776,11.1645323299226
10.37,4.4718237600846,11.2825391742724
10.38,4.56261828318773,11.4037895550111
10.39,4.65696846221284,11.5283708804906
10.4,4.75505732359359,11.6563724405014
10.41,4.85707927872587,11.7878853143757
10.42,4.96324094311144,11.923002252198
10.43,5.0737620206915,12.0618175246694
10.44,5.18887625880736,12.2044267364897
10.45,5.30883247965545,12.3509265973398
10.46,5.43389569455652,12.5014146436316
10.47,5.56434830783157,12.6559889031574
10.48,5.70049141756465,12.8147474935536
10.49,5.84264622102975,12.9777881441091
10.5,5.9911555330587,13.1452076288365
10.51,6.14638542611327,13.3171010968711
10.52,6.30872700128836,13.4935612841215
10.53,6.47859829988531,13.6746775876266
10.54,6.65644636553633,13.8605349812194
10.55,6.84274946708762,14.0512127478177
10.56,7.03801949252183,14.2467829998658
10.57,7.24280452405459,14.4473089550933
10.58,7.45769160409917,14.6528429297309
10.59,7.68330970096422,14.8634240055541
10.6,7.9203328818008,15.0790753204966
10.61,8.16948369829774,15.2998009249929
10.62,8.43153678773398,15.5255821375298
10.63,8.7073226879905,15.7563733230096
