"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
9.74,6.57080535050207,-20.8149192275908
9.75,6.5610751260209,-20.2701623659749
9.76,6.55289115888358,-19.7300844133143
9.77,6.54624671766828,-19.1945318557895
9.78,6.54113678733611,-18.663354465743
9.79,6.53755806462047,-18.1364051353598
9.8,6.53550895762737,-17.6135397159698
9.81,6.53498958966492,-17.0946168626154
9.82,6.53600180733846,-16.5794978835453
9.83,6.53854919296656,-16.0680465943125
9.84,6.5426370813916,-15.5601291761749
9.85,6.54827258127856,-15.0556140385084
9.86,6.55546460101543,-14.5543716849623
9.87,6.56422387934996,-14.0562745830974
9.88,6.57456302091915,-13.561197037264
9.89,6.58649653685116,-13.0690150644911
9.9,6.60004089064351,-12.5796062731666
9.91,6.61521454954737,-12.0928497443094
9.92,6.63203804171518,-11.6086259152398
9.93,6.65053401939803,-11.1268164654738
9.94,6.67072732851077,-10.6473042046756
9.95,6.69264508491652,-10.1699729625213
9.96,6.71631675781831,-9.69470748033759
9.97,6.74177426068511,-9.22139330439824
9.98,6.76905205018122,-8.74991668077558
9.99,6.79818723361439,-8.28016445166341
10,6.82921968546739,-7.81202395310941
10.01,6.86219217363169,-7.34538291411409
10.02,6.89715049602057,-6.88012935708311
10.03,6.93414362830311,-6.41615149964261
10.04,6.9732238835697,-5.95333765786493
10.05,7.01444708481573,-5.49157615098276
10.06,7.05787275121303,-5.0307552077174
10.07,7.10356429922878,-4.57076287438895
10.08,7.1515892597502,-4.11148692503656
10.09,7.20201951248128,-3.65281477383765
10.1,7.25493153899537,-3.194633390189
10.11,7.31040669595535,-2.73682921690104
10.12,7.36853151015396,-2.27928809205187
10.13,7.42939799717899,-1.82189517516816
10.14,7.49310400567465,-1.36453487853031
10.15,7.55975358935085,-0.90709080456044
10.16,7.62945740908979,-0.449445690432242
10.17,7.7023331677102,0.00851863874279602
10.18,7.77850608018108,0.466921306547946
10.19,7.85810938232324,0.925882409817062
10.2,7.94128488130202,1.38552302887341
10.21,8.02818355149732,1.84596522081462
