"Freq [GHz]","dB(S(1,1)) [] - Lpar='6.83mm' Wcuartos='0.6mm' Wpar='7mm'"
12.09,-1.02698372945047
12.1,-1.01542150903759
12.11,-1.00415070059062
12.12,-0.993161524654284
12.13,-0.982444612917564
12.14,-0.971990988477353
12.15,-0.961792047189503
12.16,-0.95183954004091
12.17,-0.94212555648021
12.18,-0.932642508649528
12.19,-0.923383116462799
12.2,-0.914340393480409
12.21,-0.905507633532642
12.22,-0.896878398048053
12.23,-0.888446504045181
12.24,-0.880206012749159
12.25,-0.872151218796904
12.26,-0.864276639997129
12.27,-0.856577007613299
12.28,-0.849047257139983
12.29,-0.841682519544433
12.3,-0.834478112947561
12.31,-0.827429534719489
12.32,-0.820532453966856
12.33,-0.81378270439017
12.34,-0.807176277490755
12.35,-0.800709316108544
12.36,-0.794378108272421
12.37,-0.788179081346433
12.38,-0.782108796455957
12.39,-0.776163943178956
12.4,-0.770341334488047
12.41,-0.764637901930441
12.42,-0.759050691033061
12.43,-0.753576856921169
12.44,-0.748213660139416
12.45,-0.742958462664878
12.46,-0.737808724102188
12.47,-0.732761998051493
12.48,-0.727815928640473
12.49,-0.722968247212051
12.5,-0.71821676916012
12.51,-0.713559390905693
12.52,-0.708994087006659
12.53,-0.704518907394384
12.54,-0.700131974731101
12.55,-0.695831481881876
12.56,-0.691615689495889
12.57,-0.687482923691457
12.58,-0.683431573839933
12.59,-0.679460090443671
12.6,-0.675566983103539
12.61,-0.671750818571796
12.62,-0.668010218886109
12.63,-0.66434385958107
12.64,-0.660750467973404
12.65,-0.657228821517555
12.66,-0.653777746228215
12.67,-0.650396115166799
12.68,-0.647082846988821
12.69,-0.643836904549459
12.7,-0.640657293564499
12.71,-0.637543061324205
12.72,-0.63449329545773
12.73,-0.631507122745577
12.74,-0.628583707978274
12.75,-0.625722252858706
12.76,-0.622921994946601
12.77,-0.620182206642883
12.78,-0.617502194212403
12.79,-0.614881296843046
12.8,-0.612318885739885
12.81,-0.609814363252514
12.82,-0.607367162034318
12.83,-0.604976744232113
12.84,-0.602642600704894
12.85,-0.600364250270333
12.86,-0.598141238977746
12.87,-0.595973139406604
12.88,-0.593859549989081
12.89,-0.591800094355888
12.9,-0.589794420704176
12.91,-0.587842201186599
12.92,-0.585943131320601
12.93,-0.584096929417022
12.94,-0.582303336027063
12.95,-0.580562113406976
12.96,-0.578873044999586
12.97,-0.577235934931752
12.98,-0.575650607527379
12.99,-0.574116906834914
13,-0.572634696169018
