"Freq [GHz]","dB(S(1,1)) []"
12.37,-0.786680372391277
12.38,-0.784789855606098
12.39,-0.78294034978517
12.4,-0.781130382221566
12.41,-0.779358544768526
12.42,-0.777623491393337
12.43,-0.775923935857026
12.44,-0.774258649513342
12.45,-0.772626459221003
12.46,-0.771026245363398
12.47,-0.769456939970397
12.48,-0.767917524937139
12.49,-0.766407030335019
12.5,-0.76492453281035
12.51,-0.763469154066394
12.52,-0.762040059424811
12.53,-0.760636456462667
12.54,-0.759257593721442
12.55,-0.757902759484664
12.56,-0.756571280620985
12.57,-0.755262521489662
12.58,-0.753975882905614
12.59,-0.752710801161389
12.6,-0.751466747103458
12.61,-0.750243225260486
12.62,-0.749039773021289
12.63,-0.747855959860334
12.64,-0.74669138660878
12.65,-0.745545684769119
12.66,-0.744418515871639
12.67,-0.743309570870966
12.68,-0.742218569581101
12.69,-0.741145260147388
12.7,-0.740089418553997
12.71,-0.739050848165524
12.72,-0.738029379301437
12.73,-0.737024868842115
12.74,-0.736037199865365
12.75,-0.73506628131224
12.76,-0.734112047681204
12.77,-0.733174458749601
12.78,-0.732253499321529
12.79,-0.731349179001179
12.8,-0.730461531990898
12.81,-0.729590616913084
12.82,-0.728736516655221
12.83,-0.727899338237328
12.84,-0.727079212701124
12.85,-0.726276295020304
12.86,-0.725490764031296
12.87,-0.724722822383922
12.88,-0.723972696511406
12.89,-0.723240636619252
12.9,-0.722526916692441
12.91,-0.721831834520491
12.92,-0.721155711739971
12.93,-0.720498893893982
12.94,-0.719861750508238
12.95,-0.719244675183353
12.96,-0.718648085702924
12.97,-0.718072424157127
12.98,-0.717518157081408
12.99,-0.716985775609971
13,-0.716475795643776
