"Theta [deg]","dB10normalize(DirTotal) [] - Freq='11.25GHz' Phi='0deg'","dB10normalize(DirTotal)_1 [] - Freq='11.25GHz' Phi='90.0000000000002deg'"
168,-19.0153264991657,-21.0190852172859
169,-19.0015478621397,-20.8184571478944
170,-18.9877291807176,-20.6152096521227
171,-18.9735690259712,-20.4131186421799
172,-18.9586479000988,-20.2153882308109
173,-18.9424674877197,-20.0246775249688
174,-18.9244934018281,-19.8431456194152
175,-18.9041999655318,-19.6725046973598
176,-18.8811151549204,-19.5140743298751
177,-18.854863475165,-19.3688326743601
178,-18.8252043450148,-19.2374622061891
179,-18.7920636035615,-19.1203889433924
180,-18.755556071447,-19.0178149705756
181,-18.7159976889578,-18.9297445697308
182,-18.6739065515813,-18.8560045370411
183,-18.6299930588102,-18.7962593947041
184,-18.5851402501174,-18.7500222588719
185,-18.5403760956648,-18.7166621426366
186,-18.4968399457436,-18.6954084850976
187,-18.455745481431,-18.6853537213274
188,-18.4183423633529,-18.6854547524241
189,-18.3858784033404,-18.6945342415744
190,-18.3595635673967,-18.7112827459686
191,-18.3405365443693,-18.734262782884
192,-18.3298340579902,-18.7619160003574
193,-18.3283626150627,-18.7925746490779
194,-18.3368720023624,-18.8244784953325
195,-18.3559295847431,-18.8557981338943
196,-18.385894322756,-18.8846653165314
197,-18.4268894246475,-18.9092103820893
198,-18.4787726871231,-18.9276061611787
199,-18.541103888139,-18.9381168767512
200,-18.6131091177507,-18.9391496648076
201,-18.6936427318746,-18.9293055365412
202,-18.7811487599374,-18.9074260599186
203,-18.8736251490462,-18.8726319107784
204,-18.9685961874788,-18.8243498317868
205,-19.0631006982305,-18.762325447862
206,-19.1537057931401,-18.6866207114127
207,-19.2365574874963,-18.597596283578
208,-19.3074793140758,-18.4958806402656
209,-19.3621270543979,-18.382328878671
210,-19.3962008182379,-18.257974918704
211,-19.4057048130196,-18.1239809805946
212,-19.3872317533012,-17.9815879209414
213,-19.3382364576829,-17.8320693520473
214,-19.2572565609844,-17.6766916183785
215,-19.1440415975586,-17.516680818656
216,-18.9995660722605,-17.3531972660296
217,-18.8259241461521,-17.1873171467954
218,-18.6261263570001,-17.0200206980455
219,-18.4038351316918,-16.8521859682406
220,-18.163081470353,-16.6845871217123
221,-17.9080003123271,-16.5178962590818
222,-17.6426104583676,-16.3526878112706
223,-17.3706513787168,-16.1894446916193
224,-17.0954776367913,-16.028565533061
225,-16.8200039049826,-15.8703724778106
226,-16.5466897801228,-15.7151191150248
227,-16.2775529286247,-15.5629982720748
228,-16.0142003095094,-15.4141494558285
229,-15.7578692959478,-15.2686658123819
230,-15.5094727297249,-15.1266005289923
231,-15.2696439062654,-14.987972643089
232,-15.0387790449649,-14.8527722528057
233,-14.8170759375618,-14.7209651439297
234,-14.6045682427891,-14.592496861635
235,-14.4011553881385,-14.4672962636305
236,-14.2066283268287,-14.345278595839
237,-14.0206915448441,-14.2263481335292
238,-13.8429817687877,-14.110400430809
239,-13.6730838258492,-13.9973242201599
240,-13.5105440767611,-13.8870030017177
241,-13.3548817970755,-13.7793163595906
242,-13.2055988313877,-13.6741410398713
243,-13.0621877951052,-13.5713518222955
244,-12.9241390522474,-13.4708222148048
245,-12.7909466570614,-13.3724249976515
246,-12.6621134124762,-13.2760326411609
247,-12.5371551694676,-13.1815176188569
