"Theta [deg]","dB10normalize(GainTotal) [] - Freq='11.09GHz' Lpar='6.83mm' Phi='0deg' Wcuartos='0.6mm' Wpar='7mm'","dB10normalize(GainTotal)_1 [] - Freq='11.09GHz' Lpar='6.83mm' Phi='90.0000000000002deg' Wcuartos='0.6mm' Wpar='7mm'"
278,-10.0495509953577,-8.17835051700704
279,-9.86361675563109,-7.93251702421636
280,-9.67709325449344,-7.69151850098947
281,-9.4900802176119,-7.45513777989352
282,-9.3026791330932,-7.22317714678332
283,-9.11499275001043,-6.99545728796455
284,-8.92712461252706,-6.77181630818958
285,-8.73917863084088,-6.5521088103776
286,-8.55125868962791,-6.33620502872471
287,-8.36346829416608,-6.12399000765566
288,-8.17591025386589,-5.91536281985093
289,-7.98868640253196,-5.71023581734952
290,-7.80189735432768,-5.50853391047287
291,-7.61564229411377,-5.31019387003581
292,-7.43001880058073,-5.11516364900485
293,-7.24512270039035,-4.92340172043053
294,-7.06104795138252,-4.73487642911888
295,-6.87788655278468,-4.54956535511708
296,-6.69572848028046,-4.36745468766679
297,-6.51466164374688,-4.18853860882582
298,-6.33477186545221,-4.01281868647153
299,-6.15614287651565,-3.84030327687481
300,-5.97885632946229,-3.67100693746951
301,-5.80299182475793,-3.50494985083464
302,-5.62862694927679,-3.34215726125363
303,-5.4558373247378,-3.18265892551135
304,-5.28469666423682,-3.02648857983368
305,-5.11527683510782,-2.87368342506391
306,-4.94764792645254,-2.72428363230001
307,-4.78187831979673,-2.57833187128886
308,-4.61803476144826,-2.43587286388299
309,-4.4561824352557,-2.29695296481433
310,-4.29638503458855,-2.16161977192583
311,-4.1387048324847,-2.02992176782943
312,-3.98320274903265,-1.90190799472599
313,-3.8299384151777,-1.7776277638361
314,-3.67897023226044,-1.65713040055111
315,-3.53035542670993,-1.54046502602743
316,-3.38415009942726,-1.42768037552013
317,-3.24040926950023,-1.3188246532901
318,-3.09918691199269,-1.21394542343113
319,-2.96053598964752,-1.11308953545785
320,-2.824508478432,-1.0163030829817
321,-2.69115538693762,-0.923631393290929
322,-2.56052676972233,-0.83511904515214
323,-2.43267173475269,-0.750809911676745
324,-2.30763844516502,-0.670747224656781
325,-2.18547411561877,-0.594973656381348
326,-2.06622500356323,-0.523531414608337
327,-1.94993639577678,-0.456462346094449
328,-1.83665259057193,-0.393808043888526
329,-1.72641687608362,-0.335609953473922
330,-1.61927150507727,-0.281909472810244
331,-1.51525766672545,-0.232748041373926
332,-1.414415455808,-0.188167213430801
333,-1.3167838397911,-0.148208710987884
334,-1.22240062423644,-0.112914452160508
335,-1.13130241698218,-0.0823265510456291
336,-1.04352459152461,-0.0564872856015949
337,-0.959101250011974,-0.0354390304861249
338,-0.878065186242525,-0.0192241522827388
339,-0.800447849036181,-0.00788486503652492
340,-0.726279306324538,-0.00146304450550925
341,-0.655588210278173,0
342,-0.588401763762798,-0.00353620311237763
343,-0.52474568838794,-0.0121109730214169
344,-0.46464419438413,-0.0257621183761834
345,-0.408119952515781,-0.0445255360165463
346,-0.355194068210005,-0.0684347669636871
347,-0.305886058054243,-0.0975205102129319
348,-0.260213828789653,-0.131810094883017
349,-0.218193658901954,-0.171326911226903
350,-0.179840182888158,-0.216089800896901
351,-0.145166378254545,-0.266112406696176
352,-0.114183555280798,-0.321402481855345
353,-0.0869013495653492,-0.381961158670461
354,-0.0633277173488238,-0.447782176151702
355,-0.043468933595997,-0.518851066191913
356,-0.0273295928010147,-0.595144297706255
357,-0.0149126124668824,-0.676628378256978
358,-0.00621923919705833,-0.763258912907269
359,-0.00124905732544983,-0.854979620492544
360,0,-0.951721308211957
